iso,name,family,C_H,WALS_NumChap,C_WALS,C_TTR,C_D,C_A
laj,Lango (Uganda),Nilotic,-0.234101387,26,0.4639652015,0.0445355333,0.18747437,-0.149968881
lav,Latvian,Indo-European,0.7945365763,25,0.5243333333,0.1140395503,0.2751402033,-0.0097652081
lef,Lelemi,Atlantic-Congo,-0.1590981357,9,0.5555555556,0.0555514278,0.23582602,-0.2195919759
lhm,Lhomi,Sino-Tibetan,0.4413397812,3,1,0.0478131893,0.22658157,-0.2861539207
lhu,Lahu,Sino-Tibetan,-1.7503082559,14,0.1273809524,0.0046417058,0.040198028,-0.6190568569
lif,Limbu,Sino-Tibetan,1.1114180799,13,0.8269230769,0.107417383,0.37913096,-0.379504745
lin,Lingala,Atlantic-Congo,-1.3937706948,7,0.3928571429,0.0198309283,0.21883643,-0.0954869954
lit,Lithuanian,Indo-European,1.3659132328,15,0.65,0.098363941,0.361050785,0.0486079309
ljp,Lampung Api,Austronesian,-0.2926619504,10,0.3,0.0396045104,0.15213752,-0.1689697702
lob,Lobi,Atlantic-Congo,-0.0607564543,1,0.5,0.0467346103,0.24143982,-0.2101278183
loz,Lozi,Atlantic-Congo,-0.9614857124,2,0.5,0.0154133341,0.16737437,-0.3051604648
luo,Luo (Kenya and Tanzania),Nilotic,0.6616968317,12,0.5833333333,0.0506792679,0.30359292,-0.061735286
lus,Mizo,Sino-Tibetan,-0.3232818027,11,0.1818181818,0.0372873468,0.1606462,-0.2529078143
lwo,Luwo,Nilotic,-0.4333225024,2,1,0.0256765726,0.18650639,-0.2360925872
mad,Nuclear Madurese,Austronesian,-0.0074296599,3,0.5972222222,0.0390267135,0.16505396,-0.2116064994
mah,Marshallese,Austronesian,-1.0872823242,1,1,0.0112027067,0.12826753,-0.1927111253
mai,Maithili,Indo-European,0.3472368228,11,0.4545454545,0.0374508623,0.15703595,-0.3695279093
mak,Makasar,Austronesian,0.4340123619,1,1,0.0825426453,0.27909291,-0.1941834265
mal,Malayalam,Dravidian,2.1032945515,10,0.575,0.2972495987,0.63588846,0.187749438
maq,ChiquihuitlÃƒÂ¡n Mazatec,Otomanguean,-1.324138595,3,0.6666666667,0.0199088151,0.15690172,-0.3727839723
mar,Marathi,Indo-European,1.2925983937,12,0.5604166667,0.1121128846,0.43618858,-0.0660112105
mau,Huautla Mazatec,Otomanguean,-0.7559487046,5,0.8,0.023036378,0.171211,-0.5159765694
mbb,Western Bukidnon Manobo,Austronesian,-1.1178766112,8,0.375,0.0316548499,0.16502309,-0.3120354414
mbc,Macushi,Cariban,-0.1563619516,17,0.6019607843,0.0422500803,0.25687301,-0.1528011848
mbj,NadÃƒÂ«b,Nadahup,-1.1185192252,2,0.3333333333,0.0171720911,0.10391951,-0.3738045493
mbl,MaxakalÃƒÂ­,Nuclear-Macro-Je,-0.8536266242,1,1,0.0203893185,0.1568172,-0.0976828992
mcb,Machiguenga,Arawakan,1.5979307519,3,0.3333333333,0.1899844337,0.41977036,0.0164599431
mcd,Sharanahua,Panoan,0.7921585135,3,1,0.0979528803,0.476583,-0.0093699719
mcf,MatsÃƒÂ©s,Panoan,0.3065587128,1,0.3333333333,0.0918240229,0.36372149,-0.0114819969
mcn,Masana,Afro-Asiatic,-0.1329681717,5,0.4,0.0231770968,0.21612895,-0.1615742882
mco,CoatlÃƒÂ¡n Mixe,Mixe-Zoque,-0.1200448722,5,0.4,0.0903034721,0.29307938,-0.1346837986
mdy,Male (Ethiopia),Ta-Ne-Omotic,1.2674142654,1,1,0.1105649889,0.37322497,-0.0996511204
mej,Meyah,East_Bird's_Head,-1.2057376589,10,0.5,0.014561464,0.09229219,-0.3823423623
mek,Mekeo,Austronesian,-0.233238778,2,1,0.0413317523,0.21507537,-0.2334922979
men,Mende (Sierra Leone),Mande,-0.5048932502,11,0.4393939394,0.0420365922,0.24146163,-0.2534062055
meu,Motu,Austronesian,-0.2490511527,11,0.2954545455,0.0211827008,0.20586789,-0.1553059841
mhi,Ma'di,Central_Sudanic,-0.7346375124,11,0.25,0.0268867234,0.19736493,-0.1638219145
mhr,Eastern Mari,Uralic,1.2388681858,10,0.7,0.1082505718,0.39130056,-0.0201362984
mie,Ocotepec Mixtec,Otomanguean,-1.4271690148,7,0.1428571429,0.0116793279,0.076273799,-0.4072957231
mif,Mofu-Gudur,Afro-Asiatic,-1.3118170293,3,0,0.0151365933,0.10833526,-0.3834407212
mig,San Miguel El Grande Mixtec,Otomanguean,-0.0709750631,26,0.4283424908,0.0579085211,0.25643671,-0.1978466328
mil,PeÃƒÂ±oles Mixtec,Otomanguean,-0.1825702555,9,0.3333333333,0.0374024474,0.15296495,-0.3532716265
min,Minangkabau,Austronesian,-0.1680145437,11,0.0909090909,0.0324431092,0.16214466,-0.3541227462
mio,Pinotepa Nacional Mixtec,Otomanguean,-2.0001355099,7,0.4285714286,0.0057212366,0.089161992,-0.4655201058
miq,MÃƒÂ­skito,Misumalpan,-0.6354386599,9,0.5185185185,0.0188635775,0.19776583,-0.2848547051
miz,Coatzospan Mixtec,Otomanguean,-0.8651588192,1,0,0.0246903818,0.14815724,-0.4335309346
mkd,Macedonian,Indo-European,0.2152151837,6,0.3333333333,0.0822843645,0.25725728,-0.0214248883
mks,Silacayoapan Mixtec,Otomanguean,-1.1442979846,1,0,0.0107629971,0.1071738,-0.4612932248
mlp,Bargam,Nuclear_Trans_New_Guinea,-0.4420947694,3,1,0.026640552,0.18134117,-0.2931372696
mlt,Maltese,Afro-Asiatic,0.9185052353,8,0.4875,0.0873658963,0.296215115,-0.0160555871
mna,Mbula,Austronesian,-0.6798724852,2,0.5,0.0157671061,0.1493392,-0.2671900379
mnb,Muna,Austronesian,0.799402387,12,0.6666666667,0.1062241679,0.28876054,-0.0844141294
mnf,Mundani,Atlantic-Congo,-0.6071820884,1,1,0.0206064051,0.14284909,-0.3531826911
mnk,Mandinka,Mande,-1.1335632274,3,0.5,0.0199916664,0.14270246,-0.2824562451
mnx,Manikion,East_Bird's_Head,-0.8869054768,4,0.75,0.0195268571,0.13917816,-0.2684820264
moc,MocovÃƒÂ­,Guaicuruan,-0.0741653777,8,0.75,0.0642351174,0.23413217,-0.1974147392
mop,MopÃƒÂ¡n Maya,Mayan,-1.2053965569,2,0.5,0.0270594332,0.10987735,-0.3323676644
mor,Moro,Heiban,0.3920489267,12,0.5833333333,0.100511568,0.30947328,-0.1045528257
mos,Mossi,Atlantic-Congo,-0.5866913679,8,0.625,0.0468975863,0.2327528,-0.1226184497
mpm,YosondÃƒÂºa Mixtec,Otomanguean,-1.7700157082,3,0.0833333333,0.0070865486,0.10454404,-0.3581434246
mpt,Mian,Nuclear_Trans_New_Guinea,0.3858457385,10,0.7,0.0607799893,0.280743,-0.160181588
mqy,Manggarai,Austronesian,-0.3817940344,6,0.1666666667,0.0376562246,0.1764549,-0.2970800823
mri,Maori,Austronesian,-1.5136770814,27,0.1941358025,0.008411796,0.12455153,-0.4179176394
msy,Aruamu,Lower_Sepik-Ramu,-0.1158469064,2,1,0.0385189235,0.24615884,-0.2289354229
mur,Murle,Surmic,-0.1863551331,16,0.6479166667,0.0422283921,0.18040061,-0.2246042485
mva,Manam,Austronesian,-0.2083434229,14,0.5297619048,0.064784264,0.22092426,-0.1634243454
mwv,Mentawai,Austronesian,0.0063498015,1,1,0.0706078985,0.23184431,-0.2370226207
mww,Hmong Daw,Hmong-Mien,-1.247857597,1,0.25,0.0080433349,0.065113187,-0.4836703057
mxp,Tlahuitoltepec Mixe,Mixe-Zoque,-0.1145112765,1,1,0.1251311345,0.36829698,-0.0678475111
mxt,Jamiltepec Mixtec,Otomanguean,-1.4804633063,2,0,0.015890948,0.14614904,-0.3994517886
mya,Nuclear Burmese,Sino-Tibetan,2.246184997,24,0.3344742063,0.5727567007,0.094386499,0.2603816216
myb,Mbay,Central_Sudanic,-0.2639938692,8,0.8125,0.0424514687,0.22648442,-0.1758493649
myu,MundurukÃƒÂº,Tupian,0.0271534946,3,0.75,0.0524400266,0.24059629,-0.0642911804
myv,Erzya,Uralic,1.3040901551,10,0.9,0.1208685831,0.36510384,-0.0630979254
mzh,WichÃƒÂ­ LhamtÃƒÂ©s GÃƒÂ¼isnay,Matacoan,-0.2004766639,25,0.4464285714,0.0334681751,0.18042517,-0.0644173931
mzm,Nuclear Mumuye,Atlantic-Congo,-1.7534371747,11,0.1439393939,0.0085532645,0.08881557,-0.3668455703
nab,Southern NambikuÃƒÂ¡ra,Nambiquaran,2.571120968,10,0.8714285714,0.2960915507,0.7171874,-0.0797507788
naf,Nabak,Nuclear_Trans_New_Guinea,0.5919461696,9,0.7407407407,0.073757831,0.32334125,-0.0825855813
nak,Nakanai,Austronesian,-1.4398259042,12,0.4930555556,0.0150651328,0.10281372,-0.3917182521
naq,Nama (Namibia),Khoe-Kwadi,-0.1425575654,24,0.396031746,0.0654378627,0.25856948,-0.1087064238
nas,Naasioi,South_Bougainville,1.2125116148,7,0.7142857143,0.168067957,0.4310174,-0.0524081986
nbl,South Ndebele,Atlantic-Congo,1.9123106445,10,0.7,0.2692303996,0.54558849,0.0648406987
ncj,Northern Puebla Nahuatl,Uto-Aztecan,-0.2924225027,5,0.8,0.0922330394,0.32299936,0.0429464958
ncl,MichoacÃƒÂ¡n Nahuatl,Uto-Aztecan,-0.3187378302,8,0.625,0.0559712914,0.3099978,-0.1401764221
ndo,Ndonga,Atlantic-Congo,0.6565666526,12,0.5833333333,0.0730541392,0.29419529,-0.1816069171
ndz,Ndogo,Atlantic-Congo,-1.5866108044,1,0.75,0.0070437536,0.053521156,-0.4746466325
nhe,Eastern Huasteca Nahuatl,Uto-Aztecan,-0.1732231637,8,0.625,0.0699622397,0.30052638,-0.0499527111
nhg,Tetelcingo Nahuatl,Uto-Aztecan,0.139764735,21,0.455952381,0.0862241504,0.32410681,-0.0343282134
nhu,Noone,Atlantic-Congo,-0.912834212,9,0.4444444444,0.0181069472,0.1201396,-0.4604712889
nia,Nias,Austronesian,-0.3493801448,10,0.6166666667,0.0483707232,0.23087287,-0.1990072647
nld,Dutch,Indo-European,-0.2614334766,16,0.3307291667,0.0343095995,0.203674914,-0.1611925662
nnb,Nande,Atlantic-Congo,1.4059351402,2,1,0.1663491459,0.45284855,-0.0371411345
noa,Woun Meu,Chocoan,0.6080563757,6,1,0.0594162411,0.42139107,-0.1121595413
nsn,Nehan,Austronesian,-0.0917640778,3,0.6666666667,0.0423137223,0.20237732,-0.4210308425
nso,Pedi (Northern Sotho),Atlantic-Congo,-0.9101009908,6,0.6666666667,0.0347174951,0.1974492467,-0.1685664498
ntp,Northern Tepehuan,Uto-Aztecan,0.3595564912,12,0.8333333333,0.0828581652,0.28042066,-0.0894796306
nus,Nuer,Nilotic,-0.6099831812,8,0.625,0.030214425,0.14030635,-0.2790010456
nya,Nyanja,Atlantic-Congo,0.5431506786,7,0.8571428571,0.1182151431,0.3918706167,-0.0973538568
nyn,Nyankole,Atlantic-Congo,1.532229198,8,0.75,0.1959837613,0.46503091,-0.0370165642
nyo,Nyoro,Atlantic-Congo,1.6902772948,3,1,0.1926482693,0.45902956,-0.0341424906
ojs,Severn Ojibwa,Algic,1.6226009853,1,1,0.2349370408,0.50205088,0.0346771651
okv,Orokaiva,Nuclear_Trans_New_Guinea,-0.9577056832,5,0.8,0.0247967844,0.20225227,-0.1546549855
old,Mochi,Atlantic-Congo,1.2832810033,1,1,0.1726486413,0.45879495,-0.0839629744
ong,Olo,Nuclear_Torricelli,-0.9563408463,8,0.625,0.0184917737,0.15907788,-0.3526584316
ood,Tohono O'odham,Uto-Aztecan,-1.0101010137,11.5,0.6375,0.0258972543,0.15325236,-0.1602122429
opm,Oksapmin,Nuclear_Trans_New_Guinea,-0.1350504786,6,0.6666666667,0.0330127175,0.28483105,-0.1046475574
oss,Ossetian,Indo-European,0.619677659,10,0.625,0.0628635341,0.2881915,-0.0714030797
ote,Mezquital Otomi,Otomanguean,-1.4819234645,16,0.4008928571,0.0328316338,0.16880608,-0.3496955639
otm,Eastern Highland Otomi,Otomanguean,-0.6358752947,1,0.125,0.0290679391,0.16510034,-0.2759990167
pab,ParecÃƒÂ­s,Arawakan,0.3426449566,1,0,0.087945486,0.35878634,-0.0428484365
pad,PaumarÃƒÂ­,Arawan,0.5252754525,21,0.5757936508,0.0833155499,0.31862545,-0.1238165905
pag,Pangasinan,Austronesian,-0.2494029238,7,0.5357142857,0.0512418236,0.226067125,-0.1585150076
pam,Pampanga,Austronesian,-0.3815703732,4,0.75,0.0418991548,0.22831428,-0.1821226024
pan,Panjabi,Indo-European,-0.0249650393,21,0.5785714286,0.03563192,0.18144792,-0.2472539947
pbb,PÃƒÂ¡ez,Paez,1.2709278158,11,0.7954545455,0.1167131149,0.43602109,-0.044178564
pbi,Parkwa,Afro-Asiatic,-0.846278622,2,0.5,0.019122845,0.13869035,-0.3743265503
pes,Western Farsi,Indo-European,0.2605409837,26,0.5241758242,0.0689291571,0.2600133725,-0.0559503432
pib,Yine,Arawakan,0.8382848705,6,0.6666666667,0.1982140346,0.49544811,0.0822306426
plg,PilagÃƒÂ¡,Guaicuruan,-0.3424340332,10,0.7,0.0657644836,0.19765329,-0.2826617154
plt,Plateau Malagasy,Austronesian,0.0565661907,27,0.3087742504,0.0602315856,0.2846445233,-0.1251386491
poe,San Juan Atzingo Popoloca,Otomanguean,-1.001410668,2,1,0.0421906068,0.18580461,-0.2248210401
poi,Highland Popoluca,Mixe-Zoque,-0.3144817716,6,0.8333333333,0.0655146338,0.22475648,-0.1108207225
pol,Polish,Indo-European,1.0505444516,14,0.5297619048,0.1115686859,0.29096971,-0.0104950055
por,Portuguese,Indo-European,0.0730367357,16,0.453125,0.0600130689,0.26026123,-0.0672011761
pot,Potawatomi,Algic,1.0682782811,1,0,0.3396553941,0.63869107,0.0447191011
ppk,Uma,Austronesian,0.3028694598,2,0.625,0.0759001625,0.28222656,-0.1109878996
ppo,Folopa,Teberan,0.0882001278,6,0.6666666667,0.0381475192,0.25322986,-0.2335154323
prs,Dari,Indo-European,0.1368019099,1,1,0.0510208125,0.24556935,-0.1031948746
pwg,Gapapaiwa,Austronesian,-0.4701451264,3,0.5,0.0420851072,0.20287001,-0.128752926
quh,South Bolivian Quechua,Quechuan,2.0120741126,3,0.1666666667,0.1814055599,0.64203894,0.0060777837
quy,Ayacucho Quechua,Quechuan,1.9371246586,1,1,0.1741916369,0.65047061,0.0463793434
qvh,HuamalÃƒÂ­es-Dos de Mayo HuÃƒÂ¡nuco Quechua,Quechuan,1.7409560655,8,0.875,0.1728896738,0.51881492,-0.0734497636
qvi,Imbabura Highland Quichua,Quechuan,1.6157446923,28,0.6621173469,0.133730019,0.47242856,-0.2001914801
qvn,North JunÃƒÂ­n Quechua,Quechuan,1.6871734174,1,1,0.196471346,0.64233303,-0.0589971948
rim,Nyaturu,Atlantic-Congo,0.767043915,2,1,0.1349251519,0.43550634,-0.0661591203
rkb,Rikbaktsa,Nuclear-Macro-Je,0.1577853334,3,0.6666666667,0.0645116218,0.30850279,0.0077880501
rmy,Vlax Romani,Indo-European,-0.64990374,4,0.375,0.0347392524,0.17523438,-0.1540865786
ron,Romanian,Indo-European,0.3606998035,18,0.4722222222,0.041314853,0.18455597,-0.1940448337
run,Rundi,Atlantic-Congo,1.6018249162,2,1,0.1460956887,0.43585581,-0.0269942202
rus,Russian,Indo-European,1.0477960874,28,0.4534013605,0.1088076362,0.2987701043,0.025758443
rwo,Rawa,Nuclear_Trans_New_Guinea,-0.4217953795,3,1,0.0342873431,0.21545082,-0.1875486007
sag,Sango,Atlantic-Congo,-2.0322061767,23,0.2522256729,0.0072585098,0.0822840335,-0.3616982673
sba,Ngambay,Central_Sudanic,-0.5269986652,12,0.5208333333,0.0149164472,0.15932894,-0.3499893564
sey,Secoya,Tucanoan,0.4695619276,1,1,0.0661343186,0.40374815,-0.1278298061
shi,Tachelhit,Afro-Asiatic,2.1492803771,9,0.8888888889,0.2211355895,0.48305881,0.0602939686
shk,Shilluk,Nilotic,-0.1923601237,9,0.6666666667,0.0454428092,0.18735945,-0.1627736729
shp,Shipibo-Conibo,Panoan,0.5713109087,20,0.5552380952,0.0968898904,0.4302671,-0.0699730733
shu,Chadian Arabic,Afro-Asiatic,0.1740457128,1,1,0.0753780917,0.24295521,-0.0761721959
sin,Sinhala,Indo-European,1.6836436492,4,0.90625,0.0515846113,0.36424303,-0.1935246012
sja,Epena,Chocoan,0.3305185423,23,0.567184265,0.0510330612,0.29414177,-0.1461226386
sll,Salt-Yui,Nuclear_Trans_New_Guinea,-0.4061057317,9,0.6203703704,0.0211253785,0.21977353,-0.1522513594
slv,Slovenian,Indo-European,0.7622549342,9,0.5555555556,0.0803936269,0.27793509,-0.1057291322
sme,Northern Sami,Uralic,0.8590607005,13,0.5961538462,0.0989960308,0.28199744,0.0067521151
smo,Samoan,Austronesian,-1.6380087615,13,0.2756410256,0.00999406,0.130644265,-0.4825347081
sna,Shona,Atlantic-Congo,1.8190494608,8,0.75,0.1538847763,0.480052235,-0.0012950919
snc,Sinaugoro,Austronesian,0.0704604243,6,0.8333333333,0.0711267234,0.30507827,-0.1646371655
snd,Sindhi,Indo-European,0.0996720138,1,0,0.0439265485,0.21268141,-0.2366798019
snn,Siona,Tucanoan,0.0130743072,6,1,0.0465330402,0.25851393,-0.1603268303
snp,Siane,Nuclear_Trans_New_Guinea,-0.0544240337,9,0.6666666667,0.0386954709,0.263346015,-0.2412501958
som,Somali,Afro-Asiatic,0.7434612892,19,0.5197368421,0.0540102116,0.28575897,-0.0638558754
sot,Southern Sotho,Atlantic-Congo,-0.8675123437,6,0.4583333333,0.0267590003,0.1934033233,-0.1994971716
spa,Standard Spanish,Indo-European,-0.0296168394,27,0.439638448,0.0360699306,0.2060034275,-0.1243662786
spl,Selepet,Nuclear_Trans_New_Guinea,0.2419331164,7,0.8571428571,0.041111032,0.26997745,-0.0663587776
spp,Supyire Senoufo,Atlantic-Congo,-0.8894692916,26,0.4212454212,0.0232545031,0.15400386,-0.3674216658
sps,Saposa,Austronesian,-0.993343522,4,0.25,0.0097824248,0.12755597,-0.4544223589
srq,SirionÃƒÂ³,Tupian,-0.7850244502,10,0.62,0.026747622,0.16571033,-0.0596404923
ssd,Siroi,Nuclear_Trans_New_Guinea,-0.4343429355,11,0.4545454545,0.029706024,0.20818365,-0.1923573502
ssw,Swati,Atlantic-Congo,2.515087705,3,0.6666666667,0.2172406132,0.554426075,0.0423080332
stp,Southeastern Tepehuan,Uto-Aztecan,-0.8410955842,7,0.8571428571,0.016739506,0.10118186,-0.2168049869
sua,Sulka,Sulka,-0.9502098689,11,0.5909090909,0.0091802366,0.11859643,-0.4062565859
sue,Suena,Nuclear_Trans_New_Guinea,-0.3445810031,20,0.4558333333,0.0332146711,0.2361567,-0.2427058728
suk,Sukuma,Atlantic-Congo,0.2446826162,1,1,0.1028216536,0.35538995,-0.154582007
sun,Sundanese,Austronesian,0.606972535,14,0.3035714286,0.0588461633,0.259778975,-0.1107677486
sur,Mwaghavul,Afro-Asiatic,-1.2426437077,12,0.0972222222,0.0128649882,0.11006296,-0.4069992187
sus,Susu,Mande,-0.5684147224,4,0.375,0.0201761643,0.13589025,-0.2554079098
swe,Swedish,Indo-European,-0.0733414993,19,0.3289473684,0.0349330673,0.15126711,-0.1861024713
swh,Swahili,Atlantic-Congo,0.5223595684,27,0.6748236332,0.1061857276,0.3522867575,-0.0548709348
tac,Lowland Tarahumara,Uto-Aztecan,-0.2812718902,8,0.625,0.0463030194,0.2093873,-0.1216784407
taj,Eastern Tamang,Sino-Tibetan,0.0372392519,8,0.5,0.0336381682,0.19927728,-0.4153989849
tam,Tamil,Dravidian,2.5765604751,9,0.4392156863,0.2358170536,0.66435194,-0.0041593094
tar,Central Tarahumara,Uto-Aztecan,-0.6851966914,5,0.4,0.0258141047,0.13416946,-0.379575027
tat,Tatar,Turkic,1.4361895204,6.5,0.2916666667,0.1338673903,0.41137505,-0.0316059418
tbc,Takia,Austronesian,-0.6851529001,5,0.4,0.0189738235,0.14328647,-0.2970156713
tbg,North Tairora,Nuclear_Trans_New_Guinea,0.6659406659,8,0.875,0.0387683617,0.32079899,-0.2136898574
tbl,Tboli,Austronesian,-0.944986219,7,0.4285714286,0.0243774503,0.10657871,-0.3439577729
tbo,Tawala,Austronesian,-0.5763555451,7,0.5,0.037381684,0.21845531,-0.17166028
tca,Ticuna,Ticuna-Yuri,-1.38702859,6,0.8333333333,0.0640647455,0.23089457,-0.2320257661
tee,Huehuetla Tepehua,Totonacan,-0.8269234889,9,0.5555555556,0.0744988468,0.22925591,-0.0962753589
tel,Telugu,Dravidian,2.5843437433,10,0.7,0.1360384397,0.57036316,0.0468577499
tem,Timne,Atlantic-Congo,-0.3590071753,11,0.6818181818,0.043685914,0.17384481,-0.2272727273
teo,Teso,Nilotic,1.0109989519,10,0.6,0.1354558636,0.33494568,0.0470365786
ter,Tereno,Arawakan,0.6903041208,1,1,0.0927974349,0.25343192,-0.1924416888
tfr,Teribe,Chibchan,-0.8870255402,9,0.5925925926,0.0189997634,0.096546888,-0.3236960027
tgk,Tajik,Indo-European,0.562964681,10,0.5,0.0859864945,0.2552675,-0.0721164766
tgl,Tagalog,Austronesian,-0.6676525087,23,0.4736542443,0.0349227289,0.2071329733,-0.1414069801
tha,Thai,Tai-Kadai,-0.3164071582,26,0.1260531136,0.0133129748,0.078181684,-0.4843246241
tih,Timugon Murut,Austronesian,-0.7075597516,10,0.4,0.0335232318,0.16549551,-0.2725175164
tik,Tikar,Atlantic-Congo,-0.8562011088,2,0.5,0.019295703,0.12259161,-0.4082196907
tir,Tigrinya,Afro-Asiatic,1.316534029,10,0.65,0.1826333542,0.31618321,0.0341665434
tlb,Tobelo,North_Halmahera,-0.0345340248,9,0.6851851852,0.0809516714,0.29993498,-0.1999567193
tlf,Telefol,Nuclear_Trans_New_Guinea,-0.3218817994,3,0.4166666667,0.0296746534,0.19341493,-0.2198862644
tna,Tacana,Tacanan,-0.8713572627,10,0.2,0.0305323676,0.16097569,-0.192914137
tob,Toba,Guaicuruan,-0.8394100001,8,0.75,0.0284906616,0.17369688,-0.3010806716
toj,Tojolabal,Mayan,-1.0636363458,4,0.5625,0.0325564227,0.17176807,-0.2284275666
too,Xicotepec De JuÃƒÂ¡rez Totonac,Totonacan,-0.0079170823,8,0.40625,0.0945509318,0.29188991,0.0139210924
tpi,Tok Pisin,Indo-European,-1.8941958909,3,0.1666666667,0.0049725526,0.0606166125,-0.4264051522
tpt,Tlachichilco Tepehua,Totonacan,-0.1582047433,10,0.6,0.0897654781,0.32278836,-0.0386192114
trc,Copala Triqui,Otomanguean,-1.4609029943,9,0.3240740741,0.0068901861,0.067343235,-0.4910136458
tsn,Tswana,Atlantic-Congo,-1.0599500733,2,1,0.0408836288,0.18781644,-0.2984073458
tso,Tsonga,Atlantic-Congo,-0.6035310906,2,0,0.0317586062,0.1975355167,-0.2139389873
tsz,Purepecha,Tarascan,0.5675948629,11,0.7272727273,0.1559276275,0.53687859,0.0714320864
tue,Tuyuca,Tucanoan,1.0979413871,3,1,0.1193021151,0.34211612,-0.042538209
tuo,Tucano,Tucanoan,0.5329705551,12,0.6458333333,0.0746099201,0.32282907,-0.1025395754
tur,Nuclear Turkish,Turkic,2.0062490694,27,0.7754850088,0.1452423046,0.4519147575,-0.0092408861
txu,KayapÃƒÂ³,Nuclear-Macro-Je,-0.6289286739,3,1,0.0265258276,0.13408923,-0.1147858001
uig,Uighur,Turkic,1.540863119,11,0.7954545455,0.1499631261,0.428652525,-0.1218001301
ukr,Ukrainian,Indo-European,1.0365166377,12,0.4666666667,0.0982559478,0.314264385,0.0127839752
upv,Uripiv-Wala-Rano-Atchin,Austronesian,-0.6285496227,4,0.375,0.0378789889,0.18269157,-0.3031177613
ura,Urarina,Urarina,0.0450595785,7,0.5714285714,0.0942283321,0.36991477,-0.0737394375
urd,Urdu,Indo-European,-0.1665068494,9,0.3611111111,0.0347419121,0.1961325425,-0.2732189864
urk,Urak Lawoi',Austronesian,-1.3677488362,10,0.025,0.0090318669,0.077489138,-0.4304478409
usa,Usarufa,Nuclear_Trans_New_Guinea,1.8594331201,7,1,0.1964498566,0.52145922,-0.0013068585
vag,Vagla,Atlantic-Congo,-0.9985067229,1,0.25,0.0218342587,0.15715027,-0.199054362
ven,Venda,Atlantic-Congo,-0.6393766636,3,1,0.0250038529,0.201678875,-0.2726340833
vie,Vietnamese,Austroasiatic,-0.154030134,27,0.1407848325,0.013123702,0.1094638908,-0.510027504
viv,Iduna,Austronesian,0.229633219,3,1,0.0756731592,0.26924491,-0.0876389442
wal,Wolaytta,Ta-Ne-Omotic,1.7490142974,9,0.8055555556,0.0797825313,0.3772248,-0.141651479
war,Waray (Philippines),Austronesian,-0.8464563384,1,1,0.0444328847,0.197522045,-0.1326315789
way,Wayana,Cariban,0.5746980445,1,0,0.1004873763,0.18793464,-0.1117278016
wbp,Warlpiri,Pama-Nyungan,1.718516333,8,0.78125,0.1081485931,0.45963883,-0.0704286964
wnu,Usan,Nuclear_Trans_New_Guinea,-0.712913713,14,0.5202380952,0.0321882153,0.20334315,-0.0762443419
wol,Nuclear Wolof,Atlantic-Congo,-0.041332057,17,0.2647058824,0.0383207863,0.13288724,-0.2009132046
wos,Hanga Hundi,Ndu,-0.7061050897,2,1,0.0232659173,0.19606459,-0.2150921313
wrs,Waris,Border,0.842096199,1,0.25,0.0992112547,0.38044202,-0.0539784086
wsk,Waskia,Nuclear_Trans_New_Guinea,-0.6494427698,10,0.5166666667,0.0181650652,0.19173753,-0.2775855025
xal,Kalmyk,Mongolic,1.4281231856,7.5,0.8333333333,0.1158693185,0.35543036,-0.0592260259
xav,XavÃƒÂ¡nte,Nuclear-Macro-Je,-1.4510320229,7,0.2857142857,0.0152966583,0.07998991,-0.1519267739
xbi,Kombio,Nuclear_Torricelli,-0.9217156504,8,0.125,0.0392813484,0.16678888,-0.0472998012
xbr,Kambera,Austronesian,0.1375284461,9,0.3833333333,0.1164016261,0.410411,-0.1527400342
xed,Hdi,Afro-Asiatic,-0.9185400004,3,0.8888888889,0.0366562575,0.18805528,-0.243699642
xho,Xhosa,Atlantic-Congo,2.649950583,10,0.6,0.179410062,0.5305270767,0.0301727469
xsi,Sio,Austronesian,-0.9683639458,9,0.3333333333,0.009762579,0.10830843,-0.432208554
xsu,SanumÃƒÂ¡,Yanomamic,-1.3817399291,22,0.2316017316,0.0194049444,0.13576615,-0.1553722131
yaa,Yaminahua,Panoan,0.4262424238,4,1,0.0845848247,0.34854007,-0.0377782775
yad,Yagua,Peba-Yagua,1.2699259377,23,0.5626293996,0.1534115266,0.46320117,-0.0030907077
yaq,Yaqui,Uto-Aztecan,0.0823914098,26,0.5786630037,0.059973214,0.25145161,-0.2266424361
ycn,Yucuna,Arawakan,0.1004132665,2,1,0.0441862705,0.21020496,-0.1560179359
yle,Yele,Yeli_Dnye,-0.877154467,7,0.7428571429,0.0124694039,0.084247947,-0.1986536497
yli,Angguruk Yali,Nuclear_Trans_New_Guinea,0.0116877855,1,0.25,0.0292200259,0.22254336,-0.2622232434
yon,Yonggom,Nuclear_Trans_New_Guinea,0.0667951462,3,0.3333333333,0.0581140389,0.27954304,-0.2207757117
yor,Yoruba,Atlantic-Congo,-0.4438756388,28,0.1778486395,0.0144785472,0.103522063,-0.2207342235
yrb,Yareba,Yareban,0.0292449364,7,0.8571428571,0.040169179,0.27532923,-0.1167474823
yss,Yessan-Mayo,Sepik,-0.8309205597,5,0.4666666667,0.0210148765,0.1529327,-0.2611817526
yua,Yucatec Maya,Mayan,-0.6999647983,4,0.5625,0.0492742086,0.25870657,-0.2008197678
yuj,Karkar-Yuri,Pauwasi,-0.2709934762,1,0,0.0324737112,0.22640693,-0.260992798
